 Day ,Meal,,,COMPULSORY ITEMS
 Monday ,BREAKFAST,"Poha(Namkeen), Sambar and Jalebi",Banana(2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes,  Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita/Horlicks                                                                                        "
,LUNCH,"Bhindi Fry, kaddu fry, Moong dal, Dahi",Seasonal fruits (Papaya+ Lichi/watermelon)/ Mango+ Dahi,"Plain Rice, Atta/Multigrain Roti, Salad(Beetroot+tomato+onion+Cucumber+lemon+chilli), mix veg Pickle, Fryums/ Papad,Ghee"
,SNACKS,"Veg Cutlet, Dhania Mirch Chutney, Imli Chutney",—,"Milk(Non-Toned), Tea, Coffee "
,DINNER,"Aloo Prwal, Sabut Masoor dal, Milk barfi/ Custard ",Paneer Tikka Masala,"Plain Rice, Atta/Multigrain Roti, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Gunde Pickle, Lizzat Papad,Ghee"
 Tuesday ,BREAKFAST,"Mix Veg paratha/ Paratha, sabji",Banana(2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Oats, Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita/Horlicks                                                                                        "
,LUNCH,"Aloo Jeera Masala, Chana- arhar dal, Urad chilka dal/ Kundri bhujia","Curd, Roohhafza","Plain Rice, Atta/Multigrain Roti, Salad(Beetroot+tomato+onion+cucumber+lemon+chilli), mix veg Pickle, Fryums/Papad,Ghee"
,SNACKS,"Bhel puri, Chutney",—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Taoi sabji, Kala chane, Dal Makhani, Lemon Rice",—,"Plain Rice, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), mango Pickle, Lizzat Papad,Ghee"
 Wednesday ,BREAKFAST,"Idli+Fried Idli / Idli+Mendu Vada, Sambhar, Coconut Chutney, Tomato Chutney",Banana(2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes,  Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita/Horlicks                                                                                        "
,LUNCH,"Mix veg , Besan Gatte, Kadi Pakoda","Curd, Nimbu sharbat","Plain Rice, Atta/Multigrain Roti, Salad(Beetroot+tomato+onion+cucumber+lemon+chilli), Pickle, Fryums/Papad,Ghee"
,SNACKS,"Aloo Tikki chat, Chuteny",—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Veg Soyabean curry, Kali Masoor dal, Kheer with dry fruits",Paneer do pyaza,"Plain Rice, Roti, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), mirch Pickle, Lizzat Papad,Ghee"
 Thursday ,BREAKFAST,"khasta Poori, hing-zeera aloo Sabzi/ kadu ki sabji ",Banana(2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Oats, Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita/Horlicks                                                                                        "
,LUNCH,"Mix Veg, Aloo- Parwal bhujia, Chana dal","Seasonal fruits( mango), Chhach","Plain Rice, Atta/Multigrain Roti, , Salad(Beetroot+tomato+onion+cucumber+lemon+chilli), Pickle, Fryums/Papad,Ghee"
,SNACKS,"Veg Grilled Sandwitch/ Cheese sandwitch, ketchup",—," Milk(Non-Toned), Tea, Coffee "
