 Day ,Meal,,Jain ,,COMPULSORY ITEMS
 Monday ,BREAKFAST,"Poha(Namkeen), Sambar and Jalebi/ Dalia",,Banana (2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, , oats, Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita/Horlicks                                                                                        "
,LUNCH,"Curd rice, Chana+Arhar daal, Kala chana, Bhindi peanut fry",Bhindi peanut fry,"Curd, Rasna","Plain Rice, Atta/Multigrain Roti, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Lizzat Papad, Ghee"
,SNACKS,"Samosa , chutney",,—,"Milk(Non-Toned), Tea, Coffee "
,DINNER,"Dal Makhani, Capsicum-Aloo Masala",Capsicum masala, Kadhai Paneer ,"Plain Rice, Atta/Multigrain Roti, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Lizzat Papad, Ghee"
 Tuesday ,BREAKFAST,Sewai Upma,Chatni ,Banana(2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes,Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita/Horlicks                                                                                        "
,LUNCH,"Dal Panchmahal, Veg Korma, Sev tamatar ki sabji",sev tamatar ki sabji,"Mango, Jeera - Chhach","Plain Rice, Atta/Multigrain Roti, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Lizzat Papad/Aloo masala chips, Ghee"
,SNACKS,Aloo grilled sandwich,,—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Lemon Rice, Mix Dal, Aaloo Mutter Masala,Lauki Chana, Kheer",Lauki channa,—,"Plain Rice, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Lizzat Papad, Ghee"
 Wednesday ,BREAKFAST,"Idli+Fried Idli / Idli+Mendu Vada, Sambhar, Coconut Chutney, Tomato Chutney",,Banana (2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Oats, Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita/Horlicks                                                                                        "
,LUNCH,"Masoor Dal, Besan Gatte ki sabji, Bhindi Do Pyaza",Bhindi,"Curd, Roohaafza","Plain Rice, Atta/Multigrain Roti, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Lizzat Papad, Ghee"
,SNACKS,Bhelpuri,,—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Lasooni Dal Tadka, Aloo Pyaaj ki  Sabji",Papad maithidana,Paneer Butter Masala,"Plain Rice, Atta/Multigrain Roti, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Lizzat Papad, Ghee "
