 Day ,Meal,,,COMPULSORY ITEMS
 Monday ,BREAKFAST,"Poha(Namkeen), Sambar and Jalebi",Boiled egg (2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes,  Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita                                                                                        "
,LUNCH,"Bhindi Peanut Fry, Malai Kofta, Moong dal","Seasonal fruits (2 Types), Masala Chaas","Plain Rice, Atta Roti, Salad(Beetroot+tomato+onion+cucumber+lemon+chilli), Pickle, Lizzat Papad,Ghee"
,SNACKS,"Dhokla or khandvi(Besan), Mirchi Chutney, Imli Chutney",,"Milk(Non-Toned), Tea, Coffee "
,DINNER,"Ghugni, Sabut Masoor dal, Moong dal barfi (2 Piece)",Egg Burji,"Plain Rice, Atta Roti, Salad(Beetroot+tomato+onion+cucumber+lemon+chilli), Pickle, Lizzat Papad,Ghee"
 Tuesday ,BREAKFAST,"Masala paratha, Mix sabji, pudhina chutney",Banana(2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Oats, Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita                                                                                        "
,LUNCH,"Veg Korma, Methi Matar Malai, Urad chilka dal","Curd, Roohhafza","Plain Rice, Atta Roti, Salad(Beetroot+tomato+onion+cucumber+lemon+chilli), Pickle, Lizzat Papad,Ghee"
,SNACKS,"Aloo Samosa or Aloo tikki chat, Chutney, dahi, chole",—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Soyachunks gravy,Tinde ki Sabji, Dal Makhani, Lemon Rice",—,"Plain Rice, Atta Roti, Salad(Beetroot+tomato+onion+cucumber+lemon+chilli),  Pickle, Lizzat Papad,Ghee"
 Wednesday ,BREAKFAST,"Uttapam or Namkeen siwaiya, Sambhar, Coconut Chutney",Boiled egg (2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes,  Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita                                                                                       "
,LUNCH,"Aloo parval, Baigan ka bharta, Mix dal","Veg Raita, Rasna","Plain Rice, Atta Roti, Salad(Beetroot+tomato+onion+cucumber+lemon+chilli), Pickle, Lizzat Papad,Ghee"
,SNACKS,"Pasta or maggi, Chutney or ketchup",—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Mix Veg, Masoor dal, Fruit Custard ",Butter Chiken,"Plain Rice, Atta Roti, Salad(Beetroot+tomato+onion+cucumber+lemon+chilli), Pickle, Lizzat Papad,Ghee"
